,lon,lat,type
287,18.4057954,47.1974057,pharmacy
288,21.492202,47.0029169,pharmacy
289,19.6537726,46.8952826,pharmacy
290,19.5420281,47.2815061,pharmacy
291,18.9397879,46.1831597,pharmacy
292,19.0521938,47.5144296,pharmacy
293,18.6343829,47.4924914,pharmacy
294,20.0009373,47.7957514,pharmacy
295,18.2214775,46.030438,pharmacy
296,19.2535984,46.5247438,pharmacy
297,19.2555832,46.525744,pharmacy
298,19.2440564,47.5410727,pharmacy
299,19.2525215,47.5396205,pharmacy
300,21.0905943,46.675874,pharmacy
301,21.0866605,46.6755269,pharmacy
302,21.2783942,46.645451,pharmacy
303,21.2729928,46.6443363,pharmacy
304,19.2599435,47.5465243,pharmacy
305,18.7786871,46.1296527,pharmacy
306,19.2550706,47.4802731,pharmacy
307,19.7542491,46.7641453,pharmacy
308,19.1219403,47.5307221,pharmacy
309,19.1102967,47.5323426,pharmacy
310,19.1032157,47.5244442,pharmacy
311,19.026928,47.5074988,pharmacy
312,19.0890993,47.5364966,pharmacy
313,19.0867946,47.5375195,pharmacy
314,20.1512396,46.2699637,pharmacy
315,20.1517145,46.2692797,pharmacy
316,19.933735,47.7865108,pharmacy
317,19.4800758,47.6350889,pharmacy
318,19.9242278,47.7838942,pharmacy
319,18.8848381,47.6689918,pharmacy
320,19.0137219,47.8290348,pharmacy
321,19.0651032,47.5042432,pharmacy
322,19.0656797,47.5030782,pharmacy
323,19.0617771,47.5189882,pharmacy
324,17.5509293,47.1054462,pharmacy
325,17.5511223,47.108851,pharmacy
326,17.5641395,47.1063145,pharmacy
327,18.9962997,47.396941,pharmacy
328,19.1268346,47.5193126,pharmacy
329,19.1501742,47.7323126,pharmacy
330,19.8858408,46.274076,pharmacy
331,18.2081089,47.3725997,pharmacy
332,19.0622596,47.5016069,pharmacy
333,22.0257422,47.8782132,pharmacy
334,17.8743823,46.9619495,pharmacy
335,17.8751147,46.9613793,pharmacy
336,17.1494703,46.2078106,pharmacy
